Function, Parameter, Required
STOCHF, slowkmatype, False
STOCHF, slowkperiod, False

SECTOR, function, True

SMA, function, True
SMA, interval, True
SMA, series_type, True
SMA, symbol, True
SMA, time_period, True

TRANGE, function, True
TRANGE, interval, True
TRANGE, symbol, True

TRIX, function, True
TRIX, interval, True
TRIX, series_type, True
TRIX, symbol, True
TRIX, time_period, True

TRIMA, function, True
TRIMA, interval, True
TRIMA, series_type, True
TRIMA, symbol, True
TRIMA, time_period, True

T3, function, True
T3, interval, True
T3, series_type, True
T3, symbol, True
T3, time_period, True

TEMA, function, True
TEMA, interval, True
TEMA, series_type, True
TEMA, symbol, True
TEMA, time_period, True

TIME_SERIES_DAILY, function, True
TIME_SERIES_DAILY, symbol, True
TIME_SERIES_DAILY, datatype, False
TIME_SERIES_DAILY, outputsize, False

TIME_SERIES_DAILY_ADJUSTED, function, True
TIME_SERIES_DAILY_ADJUSTED, symbol, True
TIME_SERIES_DAILY_ADJUSTED, datatype, False
TIME_SERIES_DAILY_ADJUSTED, outputsize, False

TIME_SERIES_WEEKLY, function, True
TIME_SERIES_WEEKLY, symbol, True
TIME_SERIES_WEEKLY, datatype, False

TIME_SERIES_WEEKLY_ADJUSTED, function, True
TIME_SERIES_WEEKLY_ADJUSTED, symbol, True
TIME_SERIES_WEEKLY_ADJUSTED, datatype, False

TIME_SERIES_INTRADAY, function, True
TIME_SERIES_INTRADAY, interval, True
TIME_SERIES_INTRADAY, symbol, True
TIME_SERIES_INTRADAY, datatype, False
TIME_SERIES_INTRADAY, outputsize, False

TIME_SERIES_MONTHLY, function, True
TIME_SERIES_MONTHLY, symbol, True
TIME_SERIES_MONTHLY, datatype, False

TIME_SERIES_MONTHLY_ADJUSTED, function, True
TIME_SERIES_MONTHLY_ADJUSTED, symbol, True
TIME_SERIES_MONTHLY_ADJUSTED, datatype, False

ULTOSC, function, True
ULTOSC, interval, True
ULTOSC, symbol, True
ULTOSC, timeperiod1, False
ULTOSC, timeperiod2, False
ULTOSC, timeperiod3, False

WILLR, function, True
WILLR, interval, True
WILLR, symbol, True
WILLR, time_period, True

WMA, function, True
WMA, interval, True
WMA, series_type, True
WMA, symbol, True
WMA, time_period, True
